id,amplitude,label,time [s]
0,-8.0,8.0,1594227985.912778
1,-17.8974,8.0,1594227985.922554
2,-4.7975,8.0,1594227985.9323301
3,-4.82,8.0,1594227985.9421062
4,-1.63,8.0,1594227985.9518824
5,-14.6,8.0,1594227985.9616585
6,-7.4545,8.0,1594227985.9714346
7,-3.8,8.0,1594227985.9812107
8,-1.82,8.0,1594227985.9909868
9,-15.1,8.0,1594227986.0007632
10,-4.62,8.0,1594227986.010539
11,-9.4,8.0,1594227986.0203152
12,13.8,8.0,1594227986.0300913
13,10.27,8.0,1594227986.0398676
14,5.31,8.0,1594227986.0496435
15,-0.3,8.0,1594227986.0594196
16,-1.9,8.0,1594227986.0691955
17,11.67,8.0,1594227986.078972
18,-1.28,8.0,1594227986.088748
19,-9.86,8.0,1594227986.098524
20,-5.21,8.0,1594227986.1083002
21,-0.73,8.0,1594227986.1180766
22,3.91,8.0,1594227986.1278524
23,-8.5684,8.0,1594227986.1376286
24,-3.34,8.0,1594227986.1474047
25,-3.09,8.0,1594227986.1571805
26,-14.83,8.0,1594227986.1669571
27,-3.48,8.0,1594227986.176733
28,-9.12,8.0,1594227986.1865091
29,15.1,8.0,1594227986.1962852
30,8.94,8.0,1594227986.2060616
31,5.17,8.0,1594227986.2158375
32,-0.68,8.0,1594227986.2256136
33,-1.92,8.0,1594227986.2353895
34,13.54,8.0,1594227986.2451658
35,-3.86,8.0,1594227986.254942
36,-9.11,8.0,1594227986.264718
37,-5.44,8.0,1594227986.2744946
38,-0.83,8.0,1594227986.2842705
39,3.94,8.0,1594227986.2940464
40,-8.12,8.0,1594227986.3038225
41,0.36,8.0,1594227986.3135984
42,-0.56,8.0,1594227986.3233747
43,-7.03,8.0,1594227986.3331509
44,-14.25,8.0,1594227986.342927
45,-12.62,8.0,1594227986.3527026
46,-13.96,8.0,1594227986.3624792
47,-17.97,8.0,1594227986.3722553
48,3.42,8.0,1594227986.3820314
49,-2.21,8.0,1594227986.3918073
50,8.96,8.0,1594227986.4015837
51,0.04,8.0,1594227986.4113598
52,-2.02,8.0,1594227986.421136
53,2.84,8.0,1594227986.430912
54,-5.47,8.0,1594227986.4406881
55,-2.97,8.0,1594227986.4504642
56,4.43,8.0,1594227986.4602404
57,6.02,8.0,1594227986.4700165
58,5.85,8.0,1594227986.4797926
59,0.93,8.0,1594227986.4895687
60,7.02,8.0,1594227986.4993448
61,2.7,8.0,1594227986.5091212
62,3.78,8.0,1594227986.518897
63,-7.75,8.0,1594227986.5286732
64,7.81,8.0,1594227986.5384493
65,-3.16,8.0,1594227986.5482256
66,-22.71,8.0,1594227986.5580015
67,-8.9,8.0,1594227986.5677776
68,5.54,8.0,1594227986.5775535
69,16.96,8.0,1594227986.58733
70,17.06,8.0,1594227986.597106
71,18.89,8.0,1594227986.606882
72,7.17,8.0,1594227986.6166582
73,9.31,8.0,1594227986.6264346
74,4.28,8.0,1594227986.6362104
75,-1.95,8.0,1594227986.6459866
76,-13.69,8.0,1594227986.6557627
77,-36.19,8.0,1594227986.6655388
78,-16.35,8.0,1594227986.6753151
79,-10.42,8.0,1594227986.685091
80,0.94,8.0,1594227986.6948671
81,13.62,8.0,1594227986.7046432
82,14.4,8.0,1594227986.7144196
83,0.76,8.0,1594227986.7241955
84,3.67,8.0,1594227986.7339716
85,-0.1,8.0,1594227986.7437475
86,-10.15,8.0,1594227986.7535238
87,-17.82,8.0,1594227986.7633
88,-12.91,8.0,1594227986.773076
89,-3.03,8.0,1594227986.7828526
90,7.05,8.0,1594227986.7926285
91,-7.15,8.0,1594227986.8024044
92,-1.44,8.0,1594227986.8121805
93,-10.14,8.0,1594227986.8219564
94,8.69,8.0,1594227986.8317327
95,1.37,8.0,1594227986.8415089
