id,amplitude,label,time [s]
0,-9.0,8.0,1594225895.939504
1,-5.0385,8.0,1594225895.94928
2,5.0506,8.0,1594225895.9590561
3,6.12,8.0,1594225895.9688325
4,15.03,8.0,1594225895.9786086
5,5.39,8.0,1594225895.9883845
6,17.2727,8.0,1594225895.9981606
7,6.78,8.0,1594225896.0079367
8,15.26,8.0,1594225896.0177126
9,4.99,8.0,1594225896.027489
10,20.6,8.0,1594225896.037265
11,15.01,8.0,1594225896.0470412
12,-10.27,8.0,1594225896.0568173
13,-5.56,8.0,1594225896.0665936
14,5.95,8.0,1594225896.0763695
15,-8.41,8.0,1594225896.0861454
16,-7.89,8.0,1594225896.0959218
17,0.82,8.0,1594225896.105698
18,-21.25,8.0,1594225896.115474
19,-31.15,8.0,1594225896.12525
20,0.85,8.0,1594225896.1350262
21,-9.23,8.0,1594225896.1448026
22,-10.33,8.0,1594225896.1545784
23,-5.0947,8.0,1594225896.1643546
24,7.52,8.0,1594225896.1741307
25,15.43,8.0,1594225896.1839068
26,4.46,8.0,1594225896.193683
27,22.05,8.0,1594225896.203459
28,13.59,8.0,1594225896.2132351
29,-12.04,8.0,1594225896.2230113
30,-3.75,8.0,1594225896.2327876
31,5.35,8.0,1594225896.2425635
32,-9.23,8.0,1594225896.2523394
33,-6.93,8.0,1594225896.2621155
34,0.98,8.0,1594225896.2718918
35,-24.01,8.0,1594225896.281668
36,-28.91,8.0,1594225896.291444
37,0.9,8.0,1594225896.3012204
38,-9.44,8.0,1594225896.3109965
39,-11.16,8.0,1594225896.3207724
40,-4.09,8.0,1594225896.3305485
41,3.54,8.0,1594225896.3403244
42,-9.55,8.0,1594225896.3501008
43,-9.32,8.0,1594225896.3598769
44,-13.75,8.0,1594225896.369653
45,-13.46,8.0,1594225896.3794286
46,13.09,8.0,1594225896.3892052
47,24.9,8.0,1594225896.3989813
48,18.4,8.0,1594225896.4087574
49,14.57,8.0,1594225896.4185336
50,3.17,8.0,1594225896.4283097
51,-7.94,8.0,1594225896.4380858
52,-2.0,8.0,1594225896.447862
53,0.18,8.0,1594225896.457638
54,-0.23,8.0,1594225896.4674141
55,10.16,8.0,1594225896.4771905
56,10.77,8.0,1594225896.4869664
57,-0.7,8.0,1594225896.4967425
58,11.44,8.0,1594225896.5065186
59,16.66,8.0,1594225896.5162947
60,21.75,8.0,1594225896.5260706
61,20.45,8.0,1594225896.5358472
62,12.38,8.0,1594225896.545623
63,3.07,8.0,1594225896.5553992
64,-3.81,8.0,1594225896.5651753
65,-5.01,8.0,1594225896.5749516
66,-0.63,8.0,1594225896.5847275
67,-15.36,8.0,1594225896.5945034
68,-29.79,8.0,1594225896.6042798
69,-24.28,8.0,1594225896.614056
70,-4.75,8.0,1594225896.623832
71,4.98,8.0,1594225896.633608
72,12.96,8.0,1594225896.6433842
73,16.07,8.0,1594225896.6531606
74,12.55,8.0,1594225896.6629364
75,11.16,8.0,1594225896.6727126
76,8.72,8.0,1594225896.6824887
77,-19.32,8.0,1594225896.6922648
78,-11.67,8.0,1594225896.702041
79,-1.22,8.0,1594225896.711817
80,7.39,8.0,1594225896.7215931
81,7.01,8.0,1594225896.7313693
82,-21.77,8.0,1594225896.7411456
83,-32.04,8.0,1594225896.7509215
84,-8.39,8.0,1594225896.7606974
85,-8.01,8.0,1594225896.7704735
86,-23.06,8.0,1594225896.7802498
87,-21.02,8.0,1594225896.790026
88,-23.38,8.0,1594225896.799802
89,-7.25,8.0,1594225896.8095784
90,7.74,8.0,1594225896.8193545
91,13.9,8.0,1594225896.8291304
92,0.85,8.0,1594225896.8389065
93,6.21,8.0,1594225896.8486824
94,11.72,8.0,1594225896.8584588
95,13.68,8.0,1594225896.8682349
96,18.75,8.0,1594225896.878011
97,11.64,8.0,1594225896.8877866
98,-1.8854,8.0,1594225896.8975632
99,7.59,8.0,1594225896.9073393
100,15.41,8.0,1594225896.9171154
101,4.45,8.0,1594225896.9268913
102,22.24,8.0,1594225896.9366677
103,13.35,8.0,1594225896.9464438
104,-12.22,8.0,1594225896.95622
105,-3.54,8.0,1594225896.965996
106,5.33,8.0,1594225896.9757721
107,-9.39,8.0,1594225896.9855485
108,-6.75,8.0,1594225896.9953244
109,1.06,8.0,1594225897.0051005
110,-24.44,8.0,1594225897.0148766
111,-28.52,8.0,1594225897.0246527
112,0.85,8.0,1594225897.0344286
113,-9.48,8.0,1594225897.0442052
114,-11.25,8.0,1594225897.053981
115,-3.97,8.0,1594225897.0637572
116,3.61,8.0,1594225897.0735333
117,-9.73,8.0,1594225897.0833097
118,-9.13,8.0,1594225897.0930855
119,-13.94,8.0,1594225897.1028614
120,-13.43,8.0,1594225897.1126378
121,13.45,8.0,1594225897.122414
122,24.86,8.0,1594225897.13219
123,18.41,8.0,1594225897.141966
124,14.51,8.0,1594225897.1517422
125,3.0,8.0,1594225897.1615186
126,-8.07,8.0,1594225897.1712945
127,-2.01,8.0,1594225897.1810706
128,0.22,8.0,1594225897.1908467
129,-0.1,8.0,1594225897.2006226
130,10.26,8.0,1594225897.210399
131,10.76,8.0,1594225897.220175
132,-0.54,8.0,1594225897.2299511
133,11.46,8.0,1594225897.2397273
134,17.03,8.0,1594225897.2495036
135,21.55,8.0,1594225897.2592795
136,20.64,8.0,1594225897.2690554
137,12.3,8.0,1594225897.2788315
138,3.05,8.0,1594225897.2886078
139,-3.66,8.0,1594225897.298384
140,-4.86,8.0,1594225897.30816
141,-0.61,8.0,1594225897.3179364
142,-15.24,8.0,1594225897.3277125
143,-30.2,8.0,1594225897.3374884
144,-24.12,8.0,1594225897.3472645
145,-4.47,8.0,1594225897.3570404
146,5.35,8.0,1594225897.3668168
147,13.13,8.0,1594225897.3765929
148,15.65,8.0,1594225897.386369
149,12.67,8.0,1594225897.3961446
150,11.54,8.0,1594225897.4059212
151,8.3,8.0,1594225897.4156973
152,-19.44,8.0,1594225897.4254735
153,-11.68,8.0,1594225897.4352493
154,-1.11,8.0,1594225897.4450257
155,7.36,8.0,1594225897.4548018
156,7.08,8.0,1594225897.464578
157,-22.14,8.0,1594225897.4743538
158,-31.71,8.0,1594225897.4841301
159,-8.35,8.0,1594225897.4939065
160,-8.06,8.0,1594225897.5036824
161,-23.1,8.0,1594225897.5134585
162,-20.98,8.0,1594225897.5232346
163,-23.24,8.0,1594225897.5330107
164,-7.11,8.0,1594225897.5427868
165,7.76,8.0,1594225897.5525632
166,13.9,8.0,1594225897.562339
167,0.65,8.0,1594225897.5721152
168,6.49,8.0,1594225897.5818913
169,11.68,8.0,1594225897.5916677
