id,amplitude,label,time [s]
0,16.0,8.0,1594226442.239798
1,-8.2436,8.0,1594226442.2495742
2,-29.6203,8.0,1594226442.2593505
3,-29.21,8.0,1594226442.2691267
4,-1.45,8.0,1594226442.2789025
5,11.28,8.0,1594226442.2886784
6,27.7841,8.0,1594226442.2984548
7,-28.42,8.0,1594226442.3082304
8,0.97,8.0,1594226442.318007
9,11.89,8.0,1594226442.327783
10,28.37,8.0,1594226442.3375592
11,14.41,8.0,1594226442.3473349
12,7.32,8.0,1594226442.3571115
13,-14.07,8.0,1594226442.3668876
14,-27.8,8.0,1594226442.3766634
15,-12.24,8.0,1594226442.3864398
16,-3.84,8.0,1594226442.396216
17,-1.19,8.0,1594226442.405992
18,4.71,8.0,1594226442.415768
19,-6.57,8.0,1594226442.4255445
20,-19.84,8.0,1594226442.4353206
21,-19.47,8.0,1594226442.4450965
22,-2.29,8.0,1594226442.4548724
23,3.6632,8.0,1594226442.4646487
24,-27.2,8.0,1594226442.4744248
25,2.25,8.0,1594226442.484201
26,12.78,8.0,1594226442.493977
27,27.74,8.0,1594226442.5037534
28,13.62,8.0,1594226442.5135293
29,7.02,8.0,1594226442.5233054
30,-16.16,8.0,1594226442.5330815
31,-27.16,8.0,1594226442.5428574
32,-11.18,8.0,1594226442.5526338
33,-4.18,8.0,1594226442.5624099
34,-1.8,8.0,1594226442.572186
35,4.76,8.0,1594226442.5819619
36,-6.92,8.0,1594226442.5917382
37,-20.73,8.0,1594226442.6015143
38,-18.12,8.0,1594226442.6112905
39,-1.58,8.0,1594226442.6210663
40,4.62,8.0,1594226442.6308427
41,18.71,8.0,1594226442.6406188
42,20.1,8.0,1594226442.650395
43,10.9,8.0,1594226442.660171
44,-1.05,8.0,1594226442.6699471
45,5.93,8.0,1594226442.6797233
46,6.02,8.0,1594226442.6894994
47,-17.02,8.0,1594226442.6992755
48,-20.33,8.0,1594226442.7090516
49,-18.15,8.0,1594226442.7188275
50,-7.72,8.0,1594226442.7286036
51,3.7,8.0,1594226442.7383802
52,1.62,8.0,1594226442.748156
53,8.97,8.0,1594226442.7579322
54,17.75,8.0,1594226442.7677085
55,6.57,8.0,1594226442.7774847
56,3.6,8.0,1594226442.7872605
57,19.58,8.0,1594226442.7970364
58,34.98,8.0,1594226442.8068128
59,9.34,8.0,1594226442.8165884
60,2.96,8.0,1594226442.826365
61,24.6,8.0,1594226442.836141
62,7.53,8.0,1594226442.8459172
63,-19.65,8.0,1594226442.8556929
64,-14.85,8.0,1594226442.8654695
65,-13.14,8.0,1594226442.8752456
66,-2.04,8.0,1594226442.8850214
67,6.35,8.0,1594226442.8947976
68,-2.37,8.0,1594226442.904574
69,-35.74,8.0,1594226442.91435
70,-20.6,8.0,1594226442.924126
71,-23.29,8.0,1594226442.9339025
72,-2.55,8.0,1594226442.9436786
73,-5.15,8.0,1594226442.9534545
