id,label,magnetic field x-axis [T],magnetic field y-axis [T],magnetic field z-axis [T],time [s]
0,8.0,3.033314e-05,3.571011e-05,-7.440094e-05,1594225895.939504
1,8.0,3.0164193026882677e-05,3.5372225689157913e-05,-7.541459293252627e-05,1594225895.94928
2,8.0,2.9887191008960893e-05,3.553947429192245e-05,-7.532396813177208e-05,1594225895.9590561
3,8.0,2.972100845698963e-05,3.545071465517873e-05,-7.535160915397553e-05,1594225895.9688325
4,8.0,2.904020054291622e-05,3.554594259598107e-05,-7.533256538339034e-05,1594225895.9786086
5,8.0,2.7737431141946386e-05,3.551503526187534e-05,-7.511434443524291e-05,1594225895.9883845
6,8.0,2.7869621624358325e-05,3.5568902054702814e-05,-7.512037330939795e-05,1594225895.9981606
7,8.0,2.6481993880372753e-05,3.572470106142271e-05,-7.507064077958405e-05,1594225896.0079367
8,8.0,2.688672231381477e-05,3.564538845010963e-05,-7.513272155661245e-05,1594225896.0177126
9,8.0,2.5533305858946146e-05,3.56760583751472e-05,-7.513215507402247e-05,1594225896.027489
10,8.0,2.6063245457931444e-05,3.5485385464024235e-05,-7.507478875439823e-05,1594225896.037265
11,8.0,2.4875139341406677e-05,3.524934481415793e-05,-7.50208881307883e-05,1594225896.0470412
12,8.0,2.5586602047210336e-05,3.524841715398827e-05,-7.501285853112276e-05,1594225896.0568173
13,8.0,2.4845959751363215e-05,3.459378185646542e-05,-7.506947580937082e-05,1594225896.0665936
14,8.0,2.5326878249468472e-05,3.4894306190852913e-05,-7.50304928190766e-05,1594225896.0763695
15,8.0,2.4930359451817642e-05,3.3853735942120256e-05,-7.500193987824524e-05,1594225896.0861454
16,8.0,2.5108284123930083e-05,3.447106654813792e-05,-7.499920596629563e-05,1594225896.0959218
17,8.0,2.4998564997924772e-05,3.359657219446611e-05,-7.455711216662558e-05,1594225896.105698
18,8.0,2.4999288402429016e-05,3.404613764133718e-05,-7.450412254767629e-05,1594225896.115474
19,8.0,2.5073730055812355e-05,3.329763690723909e-05,-7.370881735197743e-05,1594225896.12525
20,8.0,2.495747359784871e-05,3.365488072812519e-05,-7.383410321714932e-05,1594225896.1350262
21,8.0,2.4997068493229546e-05,3.319145820922756e-05,-7.291517129885049e-05,1594225896.1448026
22,8.0,2.4953823185891685e-05,3.339901762168964e-05,-7.298013126132278e-05,1594225896.1545784
23,8.0,2.499614709838684e-05,3.3111646166362925e-05,-7.184902424330133e-05,1594225896.1643546
24,8.0,2.500350691215808e-05,3.319954964005158e-05,-7.183396889921218e-05,1594225896.1741307
25,8.0,2.536528e-05,3.2851702756236106e-05,-6.541839303531736e-05,1594225896.1839068
26,8.0,2.65070084525715e-05,3.515716208448515e-05,-7.513617211542258e-05,1594225896.193683
27,8.0,2.5770276296890625e-05,3.332242670182419e-05,-7.079871676384753e-05,1594225896.203459
28,,,,,1594225896.2132351
29,8.0,2.6794846605537903e-05,3.526467509610059e-05,-7.51026834535212e-05,1594225896.2230113
30,8.0,2.5530245759347847e-05,3.323444886546035e-05,-7.081363331435213e-05,1594225896.2327876
31,8.0,2.8506735516668673e-05,3.5232840797735415e-05,-7.44024537790195e-05,1594225896.2425635
32,8.0,2.540743416171293e-05,3.4581026610920295e-05,-7.490277119041815e-05,1594225896.2523394
33,8.0,2.6662310445360164e-05,3.387052743099031e-05,-7.087482949437344e-05,1594225896.2621155
34,8.0,2.584599506219426e-05,3.537018551576446e-05,-7.505061177445489e-05,1594225896.2718918
35,8.0,2.5802064272905453e-05,3.481819151132834e-05,-7.508116758923196e-05,1594225896.281668
36,8.0,2.632991633448765e-05,3.363756178934211e-05,-7.072189279428901e-05,1594225896.291444
37,8.0,2.5721196294772513e-05,3.499243699378036e-05,-7.474368601733785e-05,1594225896.3012204
38,8.0,2.4979171367476883e-05,3.386070145591267e-05,-7.39410136672851e-05,1594225896.3109965
39,8.0,2.6983956124336597e-05,3.448054712291495e-05,-7.194013332341851e-05,1594225896.3207724
40,8.0,2.4954042975570123e-05,3.392855821360607e-05,-7.444692214386908e-05,1594225896.3305485
41,8.0,2.5185694036877347e-05,3.4310029362105685e-05,-7.459811759951962e-05,1594225896.3403244
42,8.0,2.681042636293767e-05,3.4092529127908086e-05,-7.122794869041919e-05,1594225896.3501008
43,8.0,2.5040897540425744e-05,3.374213687100055e-05,-7.4112776778827e-05,1594225896.3598769
44,8.0,2.496017688528154e-05,3.331311787694526e-05,-7.2297893847966e-05,1594225896.369653
45,8.0,2.6925046586256544e-05,3.488571788613075e-05,-7.368678559352826e-05,1594225896.3794286
46,8.0,2.5017686242531182e-05,3.246286882813883e-05,-7.242709289311836e-05,1594225896.3892052
47,8.0,2.494250466044985e-05,3.372866965527447e-05,-7.368668993407512e-05,1594225896.3989813
48,8.0,2.6969573086085184e-05,3.458275356581574e-05,-7.219428442839916e-05,1594225896.4087574
49,8.0,2.490758233999559e-05,3.2736318933122445e-05,-7.182841616634548e-05,1594225896.4185336
50,8.0,2.489848565196412e-05,3.136248235673915e-05,-6.44135199888385e-05,1594225896.4283097
51,8.0,2.625520882283041e-05,3.505721529213495e-05,-7.510601096015503e-05,1594225896.4380858
52,8.0,2.5973145357064256e-05,3.340727000287764e-05,-7.072715161985269e-05,1594225896.447862
53,8.0,2.5794739762940315e-05,3.43566499146098e-05,-7.447488248996128e-05,1594225896.457638
54,8.0,2.5923738540903464e-05,3.233661783993371e-05,-6.871966384371233e-05,1594225896.4674141
55,8.0,2.502236836943299e-05,3.3132177747636245e-05,-7.141018392908151e-05,1594225896.4771905
56,8.0,2.6878326104481163e-05,3.4959765551379866e-05,-7.452439450850409e-05,1594225896.4869664
57,8.0,2.534551525965177e-05,3.2204044931360504e-05,-6.953744641100996e-05,1594225896.4967425
58,8.0,2.71379532810417e-05,3.365122699171283e-05,-7.108409080386219e-05,1594225896.5065186
59,8.0,2.5185694036877347e-05,3.4310029362105685e-05,-7.459811759951962e-05,1594225896.5162947
